date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2023-06-01,GLENMARK,Drug Manufacturers - Specialty & Generic,Healthcare,609.6,17201,57.89,1.82,1.5,27.5,12.85,0.79,3.14,56.75,40.15,46.38,12.08
2023-06-01,NAM-INDIA,Asset Management,Financial Services,247.85,15446,21.5,4.39,11.44,26.33,16.09,4.64,20.57,-12.34,-8.12,10.45,4.07
2023-06-01,SJVN,Utilities - Renewable,Utilities,35.55,13971,10.19,1.01,4.75,8.7,10.91,4.78,9.81,29.04,-9.43,9.38,0.57
2023-06-01,REDINGTON,Information Technology Services,Technology,183.95,14377,10.33,2.08,0.18,-4.45,7.15,3.59,20.1,40.47,3.34,8.27,7.13
2023-06-01,AAVAS,Mortgage Finance,Financial Services,1390.85,10996,25.63,3.36,7.6,-5.71,35.63,0,13.14,-36.39,-27.35,-23.91,-0.59
2023-06-01,IDFC,Asset Management,Financial Services,99.4,15904,3.74,1.37,103.11,3.85,3.35,12.07,36.59,100.4,18.62,25.74,9.65
2023-06-01,FINCABLES,Electrical Equipment & Parts,Industrials,789.45,12074,23.94,2.76,2.69,33.89,17.24,0.76,11.54,117.36,39.95,1.75,-13.12
2023-06-01,NUVOCO,Building Materials,Basic Materials,342.5,12233,778.41,1.38,1.16,7.15,20.57,0,0.18,10.04,-13.06,-2.78,3.19
2023-06-01,BAJAJELEC,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1088.88,12531,58.01,6.57,2.57,27.88,29.22,0.28,11.34,18.08,4.39,4.93,1.42
2023-06-01,APTUS,Mortgage Finance,Financial Services,265.1,13203,26.3,3.95,15.39,-12.61,17.65,0.75,15.06,-8.4,-14.58,12.12,7.81
2023-06-01,SUVENPHAR,Drug Manufacturers - Specialty & Generic,Healthcare,474.2,12072,29.34,6.96,9.01,26.4,19.51,1.69,23.7,-5.83,1.47,-0.26,0.92
2023-06-01,ASTERDM,Medical Care Facilities,Healthcare,270.5,13454,31.71,3.02,4.49,7.34,14.13,0,9.55,37.94,15.85,18.64,9.45
2023-06-01,RHIM,Metal Fabrication,Industrials,654.15,12298,-23.49,4.25,4.51,51.61,-47.37,0.33,-16.12,9.91,-20.23,-2.49,1.66
2023-06-01,KEC,Engineering & Construction,Industrials,531.9,13675,77.65,3.63,0.8,22.54,19.59,0.75,4.67,31.72,26.87,14.87,7.02
2023-06-01,SONATSOFTW,Information Technology Services,Technology,493.58,13693,30.3,10.53,1.84,51.01,20.54,1.7,34.74,94.95,68.67,24.3,15.12
2023-06-01,AETHER,Specialty Chemicals,Basic Materials,905,11269,86.44,9.05,17.31,-1717.98,55.29,0,10.48,-9999999999,-0.28,1.99,-4.67
2023-06-01,DCMSHRIRAM,Specialty Chemicals,Basic Materials,862,13343,14.76,2.15,1.16,10.29,8.46,1.79,14.71,-13.94,-3,2.27,5.21
2023-06-01,IEX,Capital Markets,Financial Services,153.45,13646,44.87,17.08,34.04,-603.28,32.17,0.66,38.28,-19.49,2.16,5.61,-1.13
2023-06-01,HAPPSTMNDS,Information Technology Services,Technology,918.85,13157,57.39,15.68,9.21,63.51,36.45,0.43,27.54,-7.29,-6.78,7.61,10.94
2023-06-01,KIMS,Medical Care Facilities,Healthcare,1598.1,12790,38.02,7.66,5.82,29.6,21.79,0,20.14,23.4,6.58,19.01,6.49
2023-06-01,ALKYLAMINE,Specialty Chemicals,Basic Materials,2469.8,12621,55.28,10.8,7.5,50.81,35.55,0.4,19.56,-8.94,-12.7,-1.45,-4.41
2023-06-01,CYIENT,Conglomerates,Industrials,1372,15023,29.37,4.33,2.5,27.12,15.05,1.75,14.84,71.73,62.5,43.37,17.28
2023-06-01,CHAMBLFERT,Agricultural Inputs,Basic Materials,280.2,11661,11.28,1.65,0.42,3.6,7.33,2.68,14.63,-21.63,-7.23,-1.01,-2.66
2023-06-01,ASAHIINDIA,Auto Parts,Consumer Cyclical,455.7,11078,30.36,5.34,2.76,27.59,14.96,0.44,17.59,2.35,-25.67,-5.92,-8.94
